StackName,Question,Answer
spanish,adiós,goodbye
spanish,feliz,happy
spanish,mañana,tomorrow
spanish,joven,young
spanish,viejo,old
spanish,hola,hello
spanish,semana,week
spanish,hoy,today
spanish,ayer,yesterday
spanish,segundo,second
spanish,reloj,clock
spanish,ver,see
spanish,pequeño,small
spanish,bueno,good
spanish,feo,ugly
spanish,difícil,difficult
spanish,fácil,easy
spanish,malo,bad
spanish,gracias,thank you
spanish,si,yes
spanish,lunes,monday
spanish,viernes,friday
spanish,martes,tuesday
spanish,miércoles,wednesday
spanish,jueves,thursday
spanish,sábado,saturday
spanish,domingo,sunday
spanish,uno,one
spanish,dos,dos
spanish,tres,three
chinese,一,one
chinese,二,two
chinese,三,three
chinese,四,four
chinese,五,five
chinese,六,six
chinese,七,seven
chinese,八,eight
chinese,九,nine
chinese,十,ten
chinese,您,you
chinese,我,i
chinese,好,good
chinese,美國,america
chinese,不,not
chinese,英國,england
chinese,你,you
chinese,什麼,what
chinese,哪,which
chinese,他,he
chinese,中國,china
chinese,她,she
chinese,誰,who
chinese,小姐,miss
chinese,很,very
chinese,謝謝,thank you
chinese,也,also
chinese,這,this
chinese,太太,wife
chinese,天氣,weather
russian,Да,yes
russian,Нет,no
russian,Пожалуйста,please
russian,Спасибо,thank you
russian,на здоровье,enjoy
russian,Извините,excuse me
russian,Здравствуйте,hello
russian,Привет,hello
russian,Меня,my
russian,До свидания,goodbye
russian,Салат,salad
russian,Суп,soup
russian,Курица,chicken
russian,Говядина,beef
russian,Рыба,fish
russian,Десерт,dessert
russian,Завтрак,breakfast
russian,Обед,lunch
russian,Ужин,dinner
russian,Один,one
russian,Два,two
russian,Три,three
russian,Четыре,four
russian,Пять,five
russian,Шесть,six
russian,Семь,seven
russian,Восемь,eight
russian,Девять,nine
russian,Десять,ten
russian,Первый,first
